web-scraper-start-url,link-href
https://www.skysports.com/bundesliga-results/2014-15,https://www.skysports.com/football/w-bremen-vs-hannover/316313
https://www.skysports.com/la-liga-results/2015-16,https://www.skysports.com/football/granada-vs-a-madrid/347700
https://www.skysports.com/serie-a-results/2013-14,https://www.skysports.com/football/ac-milan-vs-bologna/307817
https://www.skysports.com/la-liga-results/2014-15,https://www.skysports.com/football/almeria-vs-eibar/322470
https://www.skysports.com/bundesliga-results/2015-16,https://www.skysports.com/football/cologne-vs-hamburg/344068
https://www.skysports.com/bundesliga-results/2010-11,https://www.skysports.com/football/leverkusen-vs-hannover/230111
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/empoli-vs-napoli/350270
https://www.skysports.com/la-liga-results/2016-17,https://www.skysports.com/football/sociedad-vs-a-madrid/362798
https://www.skysports.com/bundesliga-results/2012-13,https://www.skysports.com/football/f-dusseldorf-vs-bay-munich/265053
https://www.skysports.com/serie-a-results/2012-13,https://www.skysports.com/football/parma-vs-juventus/271697
https://www.skysports.com/la-liga-results/2017-18,https://www.skysports.com/football/malaga-vs-barcelona/382830
https://www.skysports.com/la-liga-results/2018-19,https://www.skysports.com/football/eibar-vs-valencia/399456
https://www.skysports.com/bundesliga-results/2010-11,https://www.skysports.com/football/freiburg-vs-mgladbach/229217
https://www.skysports.com/la-liga-results/2018-19,https://www.skysports.com/football/r-vallecano-vs-r-madrid/399649
https://www.skysports.com/serie-a-results/2019-20,https://www.skysports.com/football/napoli-vs-spal/419349
https://www.skysports.com/la-liga-results/2010-11,https://www.skysports.com/football/getafe-vs-sporting-g/224076
https://www.skysports.com/la-liga-results/2013-14,https://www.skysports.com/football/espanyol-vs-levante/309682
https://www.skysports.com/premier-league-results/2015-16,https://www.skysports.com/football/a-villa-vs-swansea/341278
https://www.skysports.com/serie-a-results/2014-15,https://www.skysports.com/football/lazio-vs-inter/323559
https://www.skysports.com/premier-league-results/2016-17,https://www.skysports.com/football/w-brom-vs-man-utd/356503
https://www.skysports.com/la-liga-results/2010-11,https://www.skysports.com/football/barcelona-vs-levante/230037
https://www.skysports.com/premier-league-results/2012-13,https://www.skysports.com/football/w-brom-vs-a-villa/261788
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/carpi-vs-sassuolo/350552
https://www.skysports.com/la-liga-results/2010-11,https://www.skysports.com/football/malaga-vs-getafe/223972
https://www.skysports.com/bundesliga-results/2017-18,https://www.skysports.com/football/hamburg-vs-fc-augsburg/377517
https://www.skysports.com/premier-league-results/2016-17,https://www.skysports.com/football/everton-vs-swansea/356446
https://www.skysports.com/la-liga-results/2019-20,https://www.skysports.com/football/real-betis-vs-valencia/415768
https://www.skysports.com/premier-league-results/2011-12,https://www.skysports.com/football/sland-vs-wolves/238214
https://www.skysports.com/premier-league-results/2016-17,https://www.skysports.com/football/leicester-vs-sland/356638
https://www.skysports.com/premier-league-results/2012-13,https://www.skysports.com/football/arsenal-vs-reading/261861
https://www.skysports.com/premier-league-results/2017-18,https://www.skysports.com/football/huddsfld-vs-bmouth/373359
https://www.skysports.com/la-liga-results/2011-12,https://www.skysports.com/football/sevilla-vs-ath-bilbao/244134
https://www.skysports.com/bundesliga-results/2013-14,https://www.skysports.com/football/bay-munich-vs-e-braunschweig/291063
https://www.skysports.com/serie-a-results/2016-17,https://www.skysports.com/football/sassuolo-vs-chievo/365872
https://www.skysports.com/bundesliga-results/2016-17,https://www.skysports.com/football/fc-augsburg-vs-mgladbach/360347
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/ac-milan-vs-atalanta/350362
https://www.skysports.com/premier-league-results/2013-14,https://www.skysports.com/football/chelsea-vs-c-palace/287438
https://www.skysports.com/serie-a-results/2015-16,https://www.skysports.com/football/empoli-vs-sassuolo/350312
https://www.skysports.com/bundesliga-results/2018-19,https://www.skysports.com/football/frankfurt-vs-f-dusseldorf/395022
https://www.skysports.com/premier-league-results/2013-14,https://www.skysports.com/football/chelsea-vs-newcastle/287527
https://www.skysports.com/premier-league-results/2018-19,https://www.skysports.com/football/fulham-vs-newcastle/391130
https://www.skysports.com/bundesliga-results/2012-13,https://www.skysports.com/football/bay-munich-vs-wolfsburg/267323
