name,team,position,rating,number,age,season
joshua-mees-fifa-20,1-fc-union-berlin,LW,69,8,24,fifa20
jakob-busk-fifa-20,1-fc-union-berlin,GK,68,12,26,fifa20
florian-flecker-fifa-20,1-fc-union-berlin,RM,67,17,24,fifa20
laurenz-dehl-fifa-20,1-fc-union-berlin,CAM,58,16,18,fifa20
julian-ryerson-fifa-20,1-fc-union-berlin,RB,66,6,22,fifa20
maurice-opfermann-arcones-fifa-20,1-fc-union-berlin,CDM,58,40,20,fifa20
julius-kade-fifa-20,1-fc-union-berlin,CAM,62,26,21,fifa20
leo-oppermann-fifa-20,1-fc-union-berlin,GK,51,39,18,fifa20
leopold-zingerle-fifa-20,sc-paderborn-07,GK,71,17,26,fifa20
laurent-jans-fifa-20,sc-paderborn-07,RB,69,20,27,fifa20
christian-strohdiek-fifa-20,sc-paderborn-07,RCB,69,5,32,fifa20
sebastian-schonlau-fifa-20,sc-paderborn-07,LCB,72,13,25,fifa20
jamilu-collins-fifa-20,sc-paderborn-07,LB,70,29,25,fifa20
klaus-gjasula-fifa-20,sc-paderborn-07,CDM,69,8,30,fifa20
ben-zolinski-fifa-20,sc-paderborn-07,RCM,69,31,28,fifa20
sebastian-vasiliadis-fifa-20,sc-paderborn-07,LCM,73,39,22,fifa20
kai-proger-fifa-20,sc-paderborn-07,RW,69,9,28,fifa20
dennis-srbeny-fifa-20,sc-paderborn-07,ST,68,18,26,fifa20
christopher-antwi-adjej-fifa-20,sc-paderborn-07,LW,72,22,26,fifa20
gerrit-holtmann-fifa-20,sc-paderborn-07,LM,70,38,25,fifa20
sven-michel-fifa-20,sc-paderborn-07,ST,71,11,30,fifa20
adrian-oeynhausen-fifa-20,sc-paderborn-07,CM,61,14,18,fifa20
antony-evans-fifa-20,sc-paderborn-07,CAM,59,26,21,fifa20
uwe-hunemeier-fifa-20,sc-paderborn-07,CB,68,2,34,fifa20
dennis-jastrzembski-fifa-20,sc-paderborn-07,LM,67,32,20,fifa20
marlon-ritter-fifa-20,sc-paderborn-07,CAM,67,7,25,fifa20
streli-mamba-fifa-20,sc-paderborn-07,ST,67,30,26,fifa20
jannik-huth-fifa-20,sc-paderborn-07,GK,70,21,26,fifa20
mohamed-drager-fifa-20,sc-paderborn-07,RB,68,25,24,fifa20
luca-kilian-fifa-20,sc-paderborn-07,CB,69,15,20,fifa20
abdelhamid-sabiri-fifa-20,sc-paderborn-07,CM,67,19,23,fifa20
massih-wassey-fifa-20,sc-paderborn-07,CM,66,36,32,fifa20
philimon-tawiah-fifa-20,sc-paderborn-07,LB,61,23,21,fifa20
samuel-kari-fridjonsson-fifa-20,sc-paderborn-07,CM,63,6,24,fifa20
leon-bruggemeier-fifa-20,sc-paderborn-07,GK,57,34,22,fifa20
jan-luca-rumpf-fifa-20,sc-paderborn-07,CB,61,4,21,fifa20
gianni-azzinnari-fifa-20,sc-paderborn-07,ST,58,37,19,fifa20
justin-reineke-fifa-20,sc-paderborn-07,CDM,59,28,20,fifa20
rifet-kapic-fifa-20,sc-paderborn-07,CM,65,24,25,fifa20
dominik-bilogrevic-fifa-20,sc-paderborn-07,CAM,60,12,21,fifa20
fatih-ufuk-fifa-20,sc-paderborn-07,CDM,55,41,22,fifa20
alexander-schwolow-fifa-20,sport-club-freiburg,GK,78,1,28,fifa20
manuel-gulde-fifa-20,sport-club-freiburg,RCB,75,5,29,fifa20
robin-koch-fifa-20,sport-club-freiburg,CB,76,25,23,fifa20
dominique-heintz-fifa-20,sport-club-freiburg,LCB,76,23,26,fifa20
jonathan-schmid-fifa-20,sport-club-freiburg,RM,75,7,30,fifa20
janik-haberer-fifa-20,sport-club-freiburg,RCM,75,19,26,fifa20
nicolas-hofler-fifa-20,sport-club-freiburg,LCM,72,27,30,fifa20
christian-gunter-fifa-20,sport-club-freiburg,LM,76,30,27,fifa20
kwon-chang-hoon-fifa-20,sport-club-freiburg,RF,75,28,26,fifa20
vincenzo-grifo-fifa-20,sport-club-freiburg,LF,77,32,27,fifa20
nils-petersen-fifa-20,sport-club-freiburg,ST,77,18,31,fifa20
roland-sallai-fifa-20,sport-club-freiburg,LM,72,22,23,fifa20
amir-abrashi-fifa-20,sport-club-freiburg,CDM,71,6,30,fifa20
luca-itter-fifa-20,sport-club-freiburg,LB,67,24,21,fifa20
mark-flekken-fifa-20,sport-club-freiburg,GK,74,26,27,fifa20
philipp-lienhart-fifa-20,sport-club-freiburg,CB,71,3,24,fifa20
yoric-ravet-fifa-20,sport-club-freiburg,RM,70,16,30,fifa20
brandon-borrello-fifa-20,sport-club-freiburg,RM,68,21,24,fifa20
lucas-holer-fifa-20,sport-club-freiburg,ST,71,9,26,fifa20
luca-waldschmidt-fifa-20,sport-club-freiburg,CF,76,11,24,fifa20
niclas-thiede-fifa-20,sport-club-freiburg,GK,59,40,21,fifa20
nico-schlotterbeck-fifa-20,sport-club-freiburg,CB,66,4,20,fifa20
mike-frantz-fifa-20,sport-club-freiburg,CM,71,8,33,fifa20
yannik-keitel-fifa-20,sport-club-freiburg,CDM,59,36,20,fifa20
lukas-kubler-fifa-20,sport-club-freiburg,RB,71,17,27,fifa20
lino-tempelmann-fifa-20,sport-club-freiburg,CM,58,34,21,fifa20
florian-kath-fifa-20,sport-club-freiburg,LM,65,38,25,fifa20
fabian-rudlin-fifa-20,sport-club-freiburg,CDM,59,39,23,fifa20
timo-horn-fifa-20,1-fc-koln,GK,80,1,27,fifa20
kingsley-ehizibue-fifa-20,1-fc-koln,RB,73,19,25,fifa20
sebastiaan-bornauw-fifa-20,1-fc-koln,RCB,75,33,21,fifa20
toni-leistner-fifa-20,1-fc-koln,LCB,73,37,29,fifa20
benno-schmitz-fifa-20,1-fc-koln,LB,71,2,25,fifa20
ellyes-skhiri-fifa-20,1-fc-koln,RDM,78,28,25,fifa20
jonas-hector-fifa-20,1-fc-koln,LDM,78,14,30,fifa20
florian-kainz-fifa-20,1-fc-koln,RM,74,30,27,fifa20
ismail-jakobs-fifa-20,1-fc-koln,LM,69,38,20,fifa20
mark-uth-fifa-20,1-fc-koln,CAM,77,23,28,fifa20
jhon-cordoba-fifa-20,1-fc-koln,ST,78,15,27,fifa20
dominick-drexler-fifa-20,1-fc-koln,CAM,74,24,30,fifa20
jan-thielmann-fifa-20,1-fc-koln,RM,66,29,18,fifa20
christian-clemens-fifa-20,1-fc-koln,RM,73,17,28,fifa20
noah-katterbach-fifa-20,1-fc-koln,LB,67,34,19,fifa20
marco-hoger-fifa-20,1-fc-koln,CDM,73,6,30,fifa20
rafael-czichos-fifa-20,1-fc-koln,CB,73,5,30,fifa20
